2.000000,1.100000,978.926652
2.000000,1.200000,2454.417724
2.000000,1.300000,2788.007756
2.000000,1.400000,2962.859473
3.000000,1.100000,2535.489356
3.000000,1.200000,3120.330650
3.000000,1.300000,3284.671991
3.000000,1.400000,3687.514509
4.000000,1.100000,2833.754177
4.000000,1.200000,3370.683184
4.000000,1.300000,3411.789799
4.000000,1.400000,3534.126691
5.000000,1.100000,2694.678683
5.000000,1.200000,2722.242047
5.000000,1.300000,2853.503113
5.000000,1.400000,2869.512795
6.000000,1.100000,2143.733258
6.000000,1.200000,2575.455033
6.000000,1.300000,1994.009254
6.000000,1.400000,2526.562798
7.000000,1.100000,1814.614997
7.000000,1.200000,1823.782503
7.000000,1.300000,2190.063445
7.000000,1.400000,2169.321145
