2.000000,1.100000,916.052364
2.000000,1.200000,2219.712246
2.000000,1.300000,3659.234811
2.000000,1.400000,2617.319800
3.000000,1.100000,1883.562574
3.000000,1.200000,3215.935126
3.000000,1.300000,3754.427666
3.000000,1.400000,4188.180476
4.000000,1.100000,2754.114231
4.000000,1.200000,3114.671096
4.000000,1.300000,3706.188126
4.000000,1.400000,3766.973957
5.000000,1.100000,3236.985068
5.000000,1.200000,3170.290775
5.000000,1.300000,3418.603454
5.000000,1.400000,3580.261044
6.000000,1.100000,2534.106224
6.000000,1.200000,3008.671712
6.000000,1.300000,2758.609459
6.000000,1.400000,3148.117061
7.000000,1.100000,2190.122863
7.000000,1.200000,2414.198220
7.000000,1.300000,2345.509181
7.000000,1.400000,2107.288422
8.000000,1.100000,1600.934446
8.000000,1.200000,1427.657490
8.000000,1.300000,1953.141014
8.000000,1.400000,1941.735195
